FID,level,dx,dy
90,1,"40,548,670.631300002000000","4,155,778.783110000200000"
91,1,"40,551,929.559400000000000","4,149,636.441230000000000"
92,1,"40,544,043.758000001000000","4,155,564.203480000100000"
93,1,"40,545,787.217500001000000","4,156,972.382300000200000"
94,1,"40,545,921.329800002000000","4,159,279.113309999900000"
95,1,"40,559,439.846400000000000","4,146,538.447830000000000"
96,1,"40,558,152.368699998000000","4,139,604.843560000000000"
97,2,"40,558,772.748000003000000","4,149,531.589819999900000"
98,1,"40,552,108.790600002000000","4,124,254.576859999900000"
99,1,"40,553,103.626000002000000","4,120,529.236080000200000"
100,1,"40,546,266.778999999000000","4,112,189.552730000100000"
101,1,"40,526,496.794799998000000","4,131,483.007989999800000"
102,1,"40,531,703.805200003000000","4,127,418.999859999900000"
103,1,"40,528,084.298000000000000","4,119,312.150309999900000"
104,1,"40,527,343.463200003000000","4,112,263.636220000200000"
105,1,"40,520,951.116999999000000","4,111,459.301270000200000"
106,1,"40,535,238.645599999000000","4,110,972.466970000000000"
107,1,"40,518,241.778300002000000","4,117,766.980560000100000"
108,4,"40,527,893.797600001000000","4,109,003.963030000200000"
109,4,"40,530,793.636699997000000","4,121,217.154120000100000"
110,3,"40,532,000.139100000000000","4,114,464.973950000000000"
111,3,"40,530,031.635200001000000","4,110,612.632910000200000"
112,3,"40,518,114.777999997000000","4,098,251.274859999800000"
113,3,"40,516,929.442299999000000","4,095,478.435980000100000"
114,2,"40,522,221.119599998000000","4,096,579.104849999800000"
115,1,"40,511,510.764799997000000","4,098,484.108659999900000"
116,1,"40,512,061.099299997000000","4,098,589.942199999900000"
117,1,"40,512,992.434500001000000","4,098,970.942960000100000"
118,1,"40,514,982.105099998000000","4,097,087.105860000000000"
119,1,"40,516,463.774700001000000","4,096,663.771679999800000"
120,1,"40,515,193.772200003000000","4,085,297.248949999900000"
121,2,"40,511,113.095299996000000","4,137,274.748740000200000"
122,2,"40,501,334.075700000000000","4,126,585.560690000200000"
123,1,"40,500,593.240900002000000","4,128,617.564760000000000"
124,1,"40,500,980.308700003000000","4,121,727.678210000000000"
125,1,"40,501,597.766999997000000","4,107,582.220590000000000"
126,1,"40,495,535.621600002000000","4,101,316.874720000200000"
127,3,"40,484,350.950800002000000","4,110,761.989450000200000"
128,3,"40,478,381.938800000000000","4,095,818.292890000200000"
129,2,"40,490,785.630300000000000","4,081,721.264700000200000"
