FID,level,dx,dy
114,2,40522221.119599998000000,4096579.104849999800000
115,1,40511510.764799997000000,4098484.108659999900000
116,1,40512061.099299997000000,4098589.942199999900000
117,1,40512992.434500001000000,4098970.942960000100000
118,1,40514982.105099998000000,4097087.105860000000000
119,1,40516463.774700001000000,4096663.771679999800000
120,1,40515193.772200003000000,4085297.248949999900000
121,2,40511113.095299996000000,4137274.748740000200000
122,2,40501334.075700000000000,4126585.560690000200000
123,1,40500593.240900002000000,4128617.564760000000000
124,1,40500980.308700003000000,4121727.678210000000000
125,1,40501597.766999997000000,4107582.220590000000000
126,1,40495535.621600002000000,4101316.874720000200000
127,3,40484350.950800002000000,4110761.989450000200000
128,3,40478381.938800000000000,4095818.292890000200000
129,2,40490785.630300000000000,4081721.264700000200000
