Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,Coor_X,Coor_Y
24,5.4,0.69,33,700,3.6,0.17,0.04,17,53,26,432,14,47,26,900,0.55,37,30,486,46,0.33,4.9,200,30.8,3397,3.4,80,2.6,25,49,708,14.32,1.95,5.43,3.11,1.07,2.92,71.02,40493767.45,4094366.241
18,5.1,1,33,800,3.2,0.15,0.05,17,44,19,366,10,37,24,540,0.47,27,25,339,33,0.31,3.4,300,17.9,3097,2.2,66,1.6,22,30,500,13.22,1.41,3.61,2.93,0.91,3.03,73.2,40495548.18,4094365.119
24,4.4,1.4,30,750,2.8,0.14,0.05,11,46,18,679,18,31,24,540,0.36,22,21,309,41,0.34,4,267,29.8,3297,2.7,61,1.7,17,39,583,13.85,1.66,3.7,2.96,0.89,3.07,70.48,40497328.91,4094364.371
21,2.4,1.1,24,817,2.3,0.14,0.04,16,48,14,366,16,28,22,410,0.2,14,22,309,34,0.28,2.5,290,15.3,2598,2.1,50,1,17,34,354,13.85,1.66,2.94,2.93,1.04,3.05,74.29,40499109.64,4094363.997
36,12,1.4,42,663,2.3,0.2,0.03,14,73,25,527,18,32,28,680,0.33,13,31,412,29,0.6,2.7,224,9.1,3871,1.8,81,1.2,25,62,329,11.11,2.08,4.61,2.4,1.42,2.07,67.1,40487538.15,4096592.701
68,6.4,1.2,31,663,2.3,0.17,0.19,19,98,32,750,28,31,25,800,0.31,14,56,498,34,0.28,2.9,265,7.6,3898,2.4,87,1.1,23,75,271,11.35,2.93,5.86,2.12,3.16,1.9,63.51,40489318.42,4096590.27
13,7.7,1.4,35,603,2,0.18,0.02,12,81,29,636,17,31,25,910,0.5,15,38,310,27,0.37,3.8,190,7.3,3788,2,87,0.85,27,72,233,11.05,2.25,5.26,2.28,2.5,2.07,64.05,40491098.68,4096588.213
29,7.7,1.2,44,638,2.3,0.18,0.04,9.2,64,23,651,20,33,28,777,0.54,15,29,400,28,0.34,2.7,176,7,3898,2,75,1.1,31,68,492,11.35,1.87,4.06,2.52,1.79,2.31,68.62,40493769.08,4096585.829
27,8,1.5,40,816,2.3,0.17,0.1,5.3,42,52,551,20,27,22,450,0.4,14,8,324,30,0.36,2.4,313,9.4,3020,1.6,53,0.94,23,58,238,10.88,1.62,3.33,2.71,1.27,2.74,68.62,40495549.34,4096584.707
9,9.2,1.1,57,720,2.5,0.17,0.02,8,135,22,484,18,37,30,517,0.38,16,20,330,30,0.37,3.4,257,14.2,3706,3.3,67,2,24,60,375,11.2,1.2,4,2.5,0.97,2.6,69.16,40497329.61,4096583.959
16,10,1.3,42,625,3.2,0.18,0.03,9.2,50,22,527,40,62,35,583,0.28,30,16,428,32,0.43,3,243,24.3,4613,5.6,72,1.2,26,60,342,11.5,1.14,4.66,2.42,1.02,2.7,66.08,40499109.87,4096583.585
24,6,1.1,30,617,1.8,0.14,0.03,17,60,21,366,16,28,20,507,0.23,12,30,385,21,0.23,2.4,280,6.9,4283,1.9,75,0.85,20,48,379,10.88,2.18,3.76,2.22,1.11,2.6,72.22,40483981.82,4098818.283
15,7.1,1.7,29,567,1.6,0.14,0.01,16,64,23,332,24,28,20,550,0.18,11,59,382,17,0.31,1.7,243,6.1,4503,1.6,88,0.94,19,50,325,10.73,2.11,4.26,1.74,1.09,2.08,69.65,40485761.62,4098815.103
13,6.6,1,15,482,2.4,0.38,0.04,30,109,48,879,18,29,25,867,0.43,12,70,694,29,0.28,1.9,265,7.4,6149,2.2,170,0.64,21,88,292,11.65,3.45,7.69,1.74,1.92,2.17,65.05,40487541.42,4098812.298
28,9.3,1.3,40,657,2.2,0.17,0.02,16,54,19,390,50,29,25,557,0.28,13,25,260,27,0.31,2.3,243,7.9,3843,1.9,65,0.94,23,50,342,10.95,1.7,3.25,2.58,1.31,2.31,72.75,40489321.22,4098809.866
17,11,1.3,35,638,2.3,0.18,0.03,16,55,21,494,21,28,28,583,0.33,13,27,315,27,0.37,2.2,190,6.5,3733,2.2,68,0.89,23,48,317,10.73,1.53,3.71,2.48,1.31,2.12,69.65,40491990.91,4098806.921
15,9.2,1.6,37,525,2.4,0.43,0.03,14,49,19,703,12,29,25,493,0.38,13,28,330,67,0.38,2.5,160,7.3,3459,2,60,1,24,58,325,10.03,2.58,3.4,2.34,2.85,2.17,67.62,40493770.71,4098805.424
29,8.7,1.5,36,503,2.3,0.17,0.05,92,45,16,860,8,31,25,507,0.46,14,18,370,30,0.34,2.7,170,6.3,3350,1.9,58,1.1,26,68,267,9.31,4.54,3.45,2.28,3.2,2.3,64.05,40495550.51,4098804.302
16,8.9,1.7,37,657,2.1,0.18,0.03,11,61,16,484,12,39,32,520,0.38,17,51,335,28,0.37,2.4,224,14.9,3898,3.1,67,1.6,26,58,383,10.95,1.32,3.88,2.56,1.07,2.53,69.16,40497330.31,4098803.554
