Coor_X,Coor_Y,Z,Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,row,col
40496431.1,4076608.265,0,0.616815,0.627226,0.541659,0.62925,0.629983,0.631557,0.612576,0.627502,0.628825,0.628777,0.615843,0.627265,0.607188,0.624204,0.620776,0.623977,0.638092,0.640123,0.627631,0.609397,0.632473,0.620649,0.627574,0.620775,0.618968,0.618112,0.619787,0.614494,0.634125,0.631662,0.612254,0.628533,0.62138,0.614155,0.619584,0.626255,0.615368,0.62415,0.625309,101,24
40499107.78,4076607.565,0,0.63458,0.642648,0.565831,0.647227,0.650033,0.64924,0.631893,0.63695,0.64841,0.649904,0.634343,0.645915,0.652749,0.64566,0.641489,0.645008,0.655806,0.660442,0.651577,0.632229,0.649277,0.640277,0.648531,0.642824,0.639548,0.639289,0.63893,0.6384,0.651134,0.65089,0.63375,0.64751,0.642158,0.638493,0.64169,0.645055,0.638207,0.642444,0.644136,101,25
40486620.1,4078837.548,0,0.636774,0.64478,0.570099,0.650054,0.652872,0.652203,0.634443,0.637257,0.651428,0.652994,0.636635,0.649415,0.619656,0.649147,0.644791,0.647734,0.658646,0.66418,0.655212,0.63538,0.651875,0.64293,0.651676,0.645794,0.642736,0.642422,0.641726,0.642071,0.654161,0.65405,0.637435,0.649828,0.645052,0.64198,0.644858,0.647803,0.642099,0.644847,0.646877,101,26
40489296.08,4078833.767,0,0.604067,0.611149,0.544301,0.619085,0.621152,0.620677,0.602666,0.601988,0.623388,0.622889,0.603936,0.619062,0.592873,0.619837,0.614552,0.61715,0.626472,0.633748,0.625398,0.606555,0.618105,0.612102,0.620926,0.614976,0.612858,0.612792,0.611327,0.613591,0.622731,0.623357,0.607355,0.617696,0.614311,0.613946,0.615321,0.616055,0.613693,0.612744,0.615391,101,27
40491080.07,4078831.714,0,0.613566,0.621478,0.554837,0.629443,0.63167,0.631064,0.612816,0.610947,0.634182,0.633426,0.61366,0.629834,0.592755,0.63071,0.625582,0.627526,0.636129,0.644909,0.636896,0.617401,0.62823,0.622578,0.631545,0.625461,0.623873,0.623514,0.622109,0.624859,0.633299,0.633931,0.618579,0.628058,0.624835,0.62544,0.626076,0.626441,0.625063,0.622693,0.625671,101,28
40492864.05,4078830.034,0,0.580618,0.59041,0.523672,0.599832,0.600593,0.600472,0.582416,0.576994,0.604613,0.603992,0.582001,0.600629,0.557759,0.601857,0.595826,0.597394,0.605572,0.615823,0.608428,0.587346,0.595547,0.593143,0.601181,0.593998,0.595142,0.594578,0.592554,0.596215,0.603741,0.604568,0.588877,0.597889,0.59448,0.595962,0.596815,0.595691,0.59696,0.591236,0.595238,101,29
40494648.04,4078828.727,0,0.579076,0.591014,0.520153,0.599171,0.599953,0.600081,0.582236,0.576571,0.603318,0.6018,0.580408,0.599184,0.539019,0.600213,0.595377,0.595847,0.603972,0.615149,0.607226,0.583784,0.595834,0.592722,0.600108,0.592191,0.595282,0.592676,0.592256,0.594284,0.603557,0.60349,0.587613,0.597017,0.593035,0.593945,0.594567,0.594966,0.594857,0.589804,0.593989,101,30
40497324.02,4078827.467,0,0.570751,0.584853,0.515982,0.593627,0.593929,0.593624,0.576084,0.568028,0.599818,0.596624,0.573225,0.59297,0.547636,0.595475,0.590217,0.590594,0.596276,0.609399,0.603799,0.578595,0.587687,0.587967,0.594856,0.586372,0.590738,0.588001,0.587434,0.590768,0.597211,0.597815,0.581847,0.59174,0.587654,0.590042,0.590025,0.588717,0.590288,0.583,0.58785,101,31
40499107.89,4077717.328,0,0.535382,0.548583,0.492386,0.560024,0.562421,0.559829,0.544674,0.53103,0.569581,0.565467,0.539123,0.559421,0.5401,0.56583,0.559291,0.560505,0.561184,0.576097,0.575868,0.550397,0.550718,0.557739,0.563903,0.556901,0.55999,0.558428,0.556648,0.563397,0.563044,0.565579,0.551596,0.560357,0.55745,0.563426,0.56107,0.556001,0.560602,0.550237,0.555246,101,32
40486623.58,4081057.085,0,0.516121,0.528307,0.478521,0.541731,0.544042,0.540719,0.526864,0.511785,0.551434,0.548821,0.521181,0.540894,0.492699,0.550405,0.541617,0.544211,0.542082,0.557755,0.560045,0.535307,0.528745,0.5415,0.546571,0.539199,0.543448,0.54296,0.540854,0.548249,0.544407,0.548403,0.535336,0.542919,0.540426,0.548662,0.545317,0.537714,0.544403,0.53182,0.537309,101,33
40489298.87,4081053.304,0,0.499158,0.51224,0.463266,0.527061,0.527818,0.524958,0.511332,0.496809,0.536566,0.534852,0.505804,0.525634,0.49767,0.537295,0.526722,0.530101,0.525739,0.542832,0.54632,0.520751,0.509614,0.528178,0.531662,0.522533,0.530023,0.529824,0.528011,0.534552,0.529773,0.534354,0.520634,0.528667,0.525471,0.534537,0.531279,0.522262,0.530167,0.515906,0.522224,101,34
40491082.39,4081051.25,0,0.471253,0.486578,0.437053,0.50219,0.502053,0.499445,0.486996,0.471281,0.510105,0.509862,0.480301,0.499962,0.469098,0.514105,0.500908,0.505865,0.50014,0.517346,0.521753,0.49474,0.4812,0.505667,0.507124,0.495437,0.506456,0.506409,0.504663,0.510265,0.505374,0.510378,0.495692,0.505808,0.500543,0.5074,0.506609,0.497167,0.504922,0.489972,0.497245,101,35
40492864.98,4079939.801,0,0.458604,0.477283,0.422978,0.492975,0.490974,0.489864,0.476688,0.462172,0.49945,0.499327,0.469643,0.490381,0.466038,0.504891,0.490118,0.495732,0.489683,0.507768,0.511233,0.481566,0.469167,0.497759,0.497076,0.481966,0.49777,0.496911,0.496084,0.499397,0.497332,0.501474,0.485218,0.497478,0.48986,0.493245,0.495696,0.487252,0.493323,0.478765,0.487314,101,36
40494648.74,4079938.494,0,0.46532,0.488308,0.425574,0.502953,0.499191,0.500466,0.485435,0.474338,0.508764,0.508585,0.478371,0.501325,0.477034,0.514315,0.498995,0.504508,0.49987,0.518242,0.519898,0.487337,0.477345,0.508704,0.505537,0.487235,0.507982,0.505991,0.506892,0.506924,0.509417,0.51206,0.494233,0.508383,0.498128,0.497848,0.50377,0.497037,0.501425,0.4869,0.496964,101,37
40497324.37,4079937.233,0,0.432249,0.457808,0.398405,0.471299,0.467594,0.469442,0.45433,0.443612,0.477582,0.47944,0.447506,0.471073,0.44889,0.484876,0.468031,0.47482,0.469793,0.486628,0.49012,0.459074,0.443794,0.479308,0.474524,0.456299,0.477543,0.476461,0.477114,0.477616,0.478629,0.481938,0.464429,0.477723,0.467988,0.468693,0.474582,0.466071,0.472256,0.456102,0.46632,101,38
40499108.12,4079936.86,0,0.426031,0.456033,0.396678,0.466483,0.461436,0.464474,0.448732,0.438549,0.473271,0.476766,0.443015,0.466381,0.449423,0.479591,0.46321,0.469732,0.464712,0.481272,0.48614,0.455527,0.437869,0.474684,0.46934,0.451183,0.472445,0.471768,0.4719,0.473268,0.47364,0.477183,0.459184,0.472455,0.463122,0.46502,0.47029,0.460761,0.46841,0.451536,0.461595,101,39
