,flow1,flow2,flow3,flow4,flow5,flow6,flow7,flow8,flow9,flow10,flow11,flow12,flow13,flow14,flow15,flow16,flow17,flow18,flow19,flow20,flow21,flow22,flow23,flow24,flow25,flow26,flow27,flow28,flow29,flow30,flow31,flow32,flow33,flow34,flow35,flow36,flow37,flow38,Coor_X,Coor_Y
11,0.093980417,0.591407771,-0.048143143,0.143814876,0.233759932,0.500190782,0.273756582,-0.189110007,0.222378678,0.296896412,-0.532013413,-0.515325813,0.214869319,-0.414237635,1.185206779,-0.12728408,-0.369050083,0.123080115,-0.182815355,0.212380664,-0.445678791,0.164865718,-1.020740389,-0.248968611,-0.50539292,0.108596745,-0.480186827,0.217587856,-0.065563989,-0.109402723,-0.313105485,0.190084285,-0.446607782,-0.068083017,-0.41965129,1.295467665,-0.361007383,0.340191274,40486613.13,4074398.495
12,0.120183662,-0.371509839,-0.038657246,-0.246284546,-0.252374475,0.406721519,0.462588915,-0.458716607,0.062199703,0.14143441,0.058189307,-0.156531239,0.09783238,-0.316857322,0.449198129,0.104481632,0.277538169,0.183101286,0.181595393,0.263400926,-0.084705833,-0.050291299,-0.240711325,-0.091720282,-2.695288546,-0.188288543,0.613062401,0.047571471,0.075822119,0.119151094,0.796862938,0.311591656,0.063168067,0.686363657,-0.259034509,0.507532649,-0.211378059,0.228348256,40488398.05,4074395.883
13,-0.003722705,-0.761906199,-0.626164078,0.633716152,0.479259611,0.642135074,0.119709624,-0.757855669,0.268466874,0.340572438,-0.195758559,-0.031103945,-0.037824178,-0.637207552,0.763404607,0.073233041,-0.161829259,-0.084007768,0.44357596,0.42945153,-0.175162604,0.513095113,-0.015079577,-0.625820378,1.387674798,-0.098583658,-0.582749327,-0.154762276,0.251988622,-0.578368299,0.157608652,-0.051229107,-0.210550413,0.420824928,0.419463456,0.303714952,-0.100930216,-0.854966224,40491075.42,4074392.664
14,0.220819804,-0.773507837,-0.496902273,1.182057447,0.470326843,0.326586658,0.090790757,0.749534842,-0.106950036,0.321475008,-0.373178785,0.836095974,-0.397395017,-0.639309889,0.618371355,-0.039738647,-0.799916438,-0.460887899,-0.423381059,0.106119414,-0.06439078,0.304200248,0.238181825,-0.353447796,-0.699547648,-0.004122872,-0.495905572,-0.287144957,-0.205640208,0.52796626,0.085547704,0.670920663,0.071187784,-0.482773376,0.005321704,-0.339850924,-0.133767682,0.108366222,40492860.34,4074390.984
15,0.150298506,-0.057929307,-0.420398561,0.279377494,0.672638618,-0.334464914,-0.341362696,0.33093854,0.106087631,0.383482884,-0.574627485,0.307842434,-0.202460571,-0.326918802,-0.069916429,-0.048752516,-0.30211777,-1.017703665,0.292791315,0.294289656,-0.176658309,-0.238098309,-0.43941188,-0.308468256,0.124839376,0.630090985,-0.674163188,0.054759019,0.359362737,-0.436502655,0.15068957,0.621949596,0.176488373,-0.9938123,-0.580846613,-0.161937894,0.323712876,0.21162182,40494645.25,4074389.678
16,0.186377589,-0.89687008,-0.184561847,0.415196626,0.275177845,0.139370994,0.370944172,-0.80005235,0.957803992,0.393826673,0.086058902,-0.156120488,-0.49413035,-0.168790682,-0.631296942,-0.397520591,-0.50656744,-0.370710541,-0.020185279,0.330673974,0.149198511,-0.176592263,0.1521589,-0.104581176,0.235940401,0.517525367,-0.370302548,-0.049491858,-0.572964982,-0.80722127,-0.025503709,0.937458503,0.264447079,-0.038301875,0.052246212,-0.194064175,0.410968374,-0.26064841,40496430.17,4074388.745
17,0.097638072,-0.697259261,0.139319979,0.277998721,-0.156626803,-0.047984044,-0.435652921,0.608852764,0.358117529,0.227385384,-0.156591991,-0.222980209,-0.43001992,-0.033228948,0.379490836,0.220623348,-0.868805246,-2.021954037,0.02398566,0.645515635,-0.019904485,0.222314028,0.125454295,-0.044758555,-0.002570038,-0.020909034,-0.491447916,-0.225784546,-0.65968425,-0.637479971,-0.104239337,0.411447253,0.321303057,0.319087338,-0.008394914,-0.14797101,0.239807121,0.199252356,40499107.54,4074388.045
18,0.134067323,-0.611507379,-0.099986656,0.126580516,-0.429393684,-0.489762389,0.432114992,0.277037777,0.63390835,0.022271399,-0.071935047,0.280576973,0.061271338,-0.386918114,-0.487607238,-0.508827111,0.115234066,0.429883012,-0.32786196,0.219094824,-0.432885743,0.543104843,-0.620899269,-0.046638943,0.272415003,0.102627552,0.171519887,0.464191913,0.588629966,-0.346831268,-0.228826801,-0.68526277,0.169661268,0.675090032,0.350346935,-0.369991473,-0.18750897,0.573408396,40476802.12,4076639.063
19,-0.073096787,-0.345013095,-0.139517798,-0.12124092,-0.24313028,0.299572314,0.223693214,0.192430714,0.179183725,-0.198224829,0.079563124,-0.233978505,0.050321604,-0.477633394,-1.164311893,-0.184710991,0.669744538,-0.038437303,-0.219668839,0.027972533,0.055850811,-0.093628201,-0.60654073,-0.771967835,-0.010990101,0.370435225,-0.159720671,0.214116977,0.569099348,-0.412958279,-0.502078575,0.734948646,1.368152871,0.08592396,0.104004656,0.012963501,-0.29886788,0.109295632,40484832.16,4076621.004
20,0.340640464,-0.121162557,-0.090076709,0.244278991,0.084840422,0.332102045,0.227335668,0.216178975,0.472669737,0.480862192,0.37249318,-0.210477707,0.04588238,-0.634603301,0.845662726,-0.037384661,-0.149165854,-0.273512117,0.35801201,0.00999511,-0.510180683,-0.538300173,-1.159838587,-0.377907017,-0.656707463,0.223466737,-0.531007412,-0.169692762,-0.005605005,-0.439528803,-0.306546053,0.149614192,-0.080223855,-0.666323766,-0.193750576,-0.243200265,-0.411543686,-0.322290608,40486616.61,4076618.018
