Coor_X,Coor_Y,Z,Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,row,col
40496431.1,4076608.265,0,39.7139,5.15047,1.21403,26.743,1155.98,1.8185,0.155222,0.0294712,8.42764,52.7964,23.0708,306.459,13.54,20.0676,19.4401,515.202,0.478903,12.2623,17.098,320.511,42.7989,0.265423,2.18393,370.236,5.84862,3089.73,1.23916,59.3297,1.04021,18.8657,29.193,302.967,14.2023,1.95803,3.45326,2.82259,0.913417,2.77299,70.4132,101,24
40499107.78,4076607.565,0,45.4509,5.43764,1.49358,27.4354,1221.38,1.89327,0.170021,0.0263809,9.36915,53.7078,23.0286,323.783,11.5442,19.1533,20.3131,538.29,0.515698,12.9488,18.5271,312.401,48.5016,0.263424,2.2479,366.154,6.24802,3047.23,1.22256,61.2435,1.10222,19.2379,29.1235,301.074,14.2695,2.20924,3.49783,2.84832,0.949908,2.66087,70.1721,101,25
40486620.1,4078837.548,0,39.8816,5.2901,1.17663,27.8141,1240.26,1.94816,0.170336,0.0238424,9.56752,54.7138,22.7883,342.5,10.737,19.0453,21.0202,541.268,0.524178,13.4839,18.977,316.302,50.666,0.265608,2.25352,368.141,6.39937,3083.29,1.2374,63.0277,1.13953,19.7549,30.5884,297.824,14.1721,1.999,3.56791,2.85611,0.994391,2.63539,70.2417,101,26
40489296.08,4078833.767,0,45.3978,5.16378,1.71932,27.7489,1187.64,1.95148,0.168968,0.0213245,10.4026,55.7149,22.1646,352.53,8.51756,18.1518,21.5639,536.939,0.583161,13.7414,19.7334,308.155,47.4799,0.259984,2.25394,349.885,6.66934,3168.84,1.2563,65.3346,1.19006,20.104,31.3793,287.355,14.0098,2.05932,3.66011,2.77385,1.03138,2.48871,69.6411,101,27
40491080.07,4078831.714,0,42.1897,5.33757,1.41361,28.6714,1225.89,2.0161,0.179434,0.0219722,11.058,57.2703,22.3919,375.598,8.17607,18.4502,22.6063,547.997,0.554325,14.4218,20.7161,317.48,53.6796,0.268042,2.28735,354.9,6.95519,3226.24,1.31529,68.1922,1.24705,20.673,33.2456,292.561,14.1109,2.13788,3.77114,2.8058,1.08751,2.49074,69.8072,101,28
40492864.05,4078830.034,0,42.1626,5.38257,1.39421,28.8155,1145.36,2.03289,0.179697,0.0204003,11.1805,58.0722,21.9647,391.248,7.59193,18.2979,23.0322,540.866,0.531876,14.6685,21.7505,295.354,47.4688,0.275249,2.25659,330.18,7.24645,3334.24,1.32298,69.9791,1.29741,21.0526,33.8432,283.692,13.8817,2.01732,3.8533,2.72697,1.11818,2.30898,69.7286,101,29
40494648.04,4078828.727,0,43.5453,5.7449,1.24189,30.3298,1209.63,2.11275,0.19581,0.0235703,11.4968,58.7208,22.5311,402.769,7.23513,18.5656,24.3871,548.943,0.51489,15.4324,22.8484,290.734,52.7397,0.293152,2.35262,332.28,7.81715,3324.85,1.43262,71.634,1.37105,21.602,35.7774,299.483,14.0104,2.06099,3.86372,2.78956,1.14731,2.32783,69.8719,101,30
40497324.02,4078827.467,0,45.0522,6.18719,1.27165,31.2771,1202.17,2.16473,0.209239,0.0240552,12.6486,59.5159,22.5155,401.059,7.40712,18.8921,25.2552,556.708,0.501217,16.0259,23.9241,284.132,51.5044,0.30389,2.40258,318.842,8.27205,3370.15,1.48998,73.5161,1.45519,22.0613,35.808,309.003,13.9815,2.05288,3.92956,2.77197,1.14971,2.24654,69.6716,101,31
40499107.89,4077717.328,0,41.7041,6.35728,1.11058,31.7378,1179.54,2.17535,0.212406,0.0235634,14.396,58.5087,21.4124,390.266,7.58689,19.1333,26.1997,575.834,0.420555,16.3069,25.9081,275.507,45.6201,0.328694,2.38459,297.237,8.94536,3413.26,1.54867,75.0783,1.51938,22.3586,35.6783,317.799,13.9223,1.94903,3.9613,2.75752,1.13053,2.08936,68.9129,101,32
40486623.58,4081057.085,0,40.6008,6.44457,1.03491,32.1963,1100.17,2.11653,0.212889,0.0269773,14.8086,59.1949,21.8949,382.384,7.57447,19.8864,26.2314,590.694,0.395906,16.4699,26.726,273.177,38.5834,0.344848,2.34502,269.962,9.40614,3566.84,1.68292,76.3607,1.56883,23.0665,36.9039,327.603,13.7792,1.87186,4.03129,2.71973,1.12544,1.98792,68.6368,101,33
