Coor_Y,Coor_X,Ag,As_,Cu,Mn,Fe2O3,row,col
4069843.89,40479796.08,0.352311,0.377707,0.364804,0.384936,0.378483,100,3
4069843.89,40480796.08,0.382917,0.407381,0.395727,0.416178,0.410366,100,4
4069843.89,40481796.08,0.382739,0.406595,0.395737,0.417662,0.41237,100,5
4069843.89,40482796.08,0.405925,0.428896,0.419173,0.441401,0.436676,100,6
4069843.89,40483796.08,0.405261,0.426749,0.419228,0.442024,0.43784,100,7
4069843.89,40484796.08,0.388675,0.410875,0.400925,0.423384,0.419679,100,8
4069843.89,40485796.08,0.40374,0.424631,0.416687,0.440048,0.436664,100,9
4069843.89,40486796.08,0.437278,0.458139,0.450868,0.474091,0.470491,100,10
4069843.89,40487796.08,0.437142,0.458049,0.450712,0.474364,0.470437,100,11
4069843.89,40488796.08,0.458898,0.48142,0.472963,0.495129,0.491812,100,12
4069843.89,40489796.08,0.478552,0.499511,0.491434,0.512016,0.50938,100,13
4069843.89,40490796.08,0.518219,0.536217,0.529159,0.547584,0.545508,100,14
4069843.89,40491796.08,0.532773,0.548718,0.541064,0.556938,0.555467,100,15
4069843.89,40492796.08,0.582793,0.596991,0.590053,0.603945,0.60288,100,16
4069843.89,40493796.08,0.580148,0.59319,0.586219,0.599398,0.598766,100,17
4069843.89,40494796.08,0.606135,0.617191,0.609088,0.618896,0.619043,100,18
4069843.89,40495796.08,0.637957,0.645198,0.640265,0.649866,0.65046,100,19
4069843.89,40496796.08,0.657239,0.660846,0.659003,0.668148,0.668774,100,20
4069843.89,40497796.08,0.653775,0.658031,0.654582,0.663821,0.663322,100,21
4069843.89,40498796.08,0.644537,0.64993,0.644481,0.654306,0.652862,100,22
4069843.89,40499796.08,0.644917,0.653178,0.643964,0.652659,0.649576,100,23
4069843.89,40500796.08,0.640607,0.645267,0.640253,0.64943,0.647176,100,24
4069843.89,40501796.08,0.667383,0.670944,0.666076,0.675558,0.67242,100,25
4069843.89,40502796.08,0.651648,0.653757,0.650888,0.662729,0.661397,100,26
4069843.89,40503796.08,0.661597,0.664977,0.660816,0.672841,0.671781,100,27
4069843.89,40504796.08,0.656903,0.658635,0.656414,0.67043,0.670401,100,28
4069843.89,40505796.08,0.629976,0.635387,0.630574,0.645694,0.64587,100,29
4069843.89,40506796.08,0.618208,0.625688,0.618871,0.635317,0.635026,100,30
4069843.89,40507796.08,0.607991,0.61739,0.60968,0.627637,0.628039,100,31
4069843.89,40508796.08,0.575417,0.584666,0.578114,0.599814,0.600898,100,32
4069843.89,40509796.08,0.548192,0.557284,0.552645,0.576409,0.578143,100,33
4069843.89,40510796.08,0.528613,0.539721,0.534755,0.559672,0.56114,100,34
4069843.89,40511796.08,0.493284,0.509123,0.502156,0.52848,0.529072,100,35
